Age,Gender,Education,Income,Debt,Credit_Score,Loan_Amount,Loan_Term,Num_Credit_Cards,Payment_History,Employment_Status,Residence_Type,Marital_Status,Creditworthiness
56,Female,Master,149406,34089,581,49200,60,4,Bad,Unemployed,Rented,Single,1
69,Female,High School,78896,8626,648,20147,24,7,Good,Employed,Mortgaged,Married,1
46,Female,Master,119339,46281,329,41307,12,8,Bad,Unemployed,Owned,Single,1
32,Male,High School,131067,29403,816,19019,60,8,Bad,Employed,Owned,Single,1
60,Male,PhD,38001,30032,673,16317,36,4,Average,Employed,Rented,Married,0
25,Female,High School,26722,31226,423,21137,60,4,Average,Self-Employed,Rented,Single,0
38,Female,Bachelor,40100,29783,745,9988,24,6,Bad,Unemployed,Owned,Divorced,1
56,Female,Master,140763,9403,693,41403,36,9,Bad,Unemployed,Owned,Single,1
36,Male,PhD,37460,43216,355,781,36,5,Good,Employed,Mortgaged,Divorced,1
40,Female,Master,109523,30619,431,33924,48,2,Average,Employed,Owned,Single,1
28,Male,Master,81645,3619,421,2710,24,9,Bad,Self-Employed,Owned,Single,1
28,Male,Bachelor,89551,2347,501,28321,24,9,Good,Self-Employed,Rented,Single,1
41,Female,High School,125433,4164,564,32351,60,1,Average,Employed,Mortgaged,Married,1
53,Male,Bachelor,88498,14559,339,9592,24,9,Good,Unemployed,Owned,Married,0
57,Male,High School,24840,28788,412,40736,36,7,Bad,Self-Employed,Rented,Divorced,1
41,Female,PhD,70064,34678,638,45886,36,1,Average,Unemployed,Owned,Divorced,0
20,Male,Bachelor,106069,8166,361,33411,60,2,Good,Employed,Owned,Single,0
39,Female,Bachelor,105990,36219,526,20253,36,2,Bad,Employed,Mortgaged,Married,0
19,Male,Master,68105,45763,473,37201,60,8,Good,Employed,Owned,Married,0
41,Female,Bachelor,25699,1403,433,42873,48,1,Good,Self-Employed,Rented,Divorced,0
61,Female,High School,146441,11033,584,44043,24,3,Bad,Self-Employed,Owned,Divorced,1
47,Male,Bachelor,25922,28224,407,45134,24,1,Average,Employed,Rented,Married,1
55,Female,Bachelor,44919,19074,442,30759,24,5,Bad,Unemployed,Owned,Married,1
19,Male,PhD,78536,4485,593,21644,48,4,Average,Self-Employed,Rented,Single,1
38,Male,High School,46508,47519,576,20175,24,3,Good,Employed,Rented,Single,0
50,Female,Master,107200,10448,791,25248,48,8,Good,Employed,Owned,Divorced,1
29,Male,High School,117806,21672,770,2548,48,7,Bad,Unemployed,Rented,Married,0
39,Female,PhD,45278,14410,575,32711,60,4,Good,Self-Employed,Rented,Single,1
61,Male,High School,34862,15262,533,28172,12,1,Good,Self-Employed,Owned,Divorced,1
42,Male,High School,33598,28760,541,5823,12,7,Average,Employed,Owned,Divorced,1
66,Female,Bachelor,87434,10834,557,44387,60,3,Bad,Employed,Owned,Married,1
44,Male,Bachelor,108475,33279,331,2394,60,5,Average,Self-Employed,Mortgaged,Single,1
59,Male,High School,146473,28928,666,5820,60,8,Bad,Employed,Rented,Single,1
45,Male,High School,116824,21829,647,37244,24,9,Good,Unemployed,Rented,Divorced,1
33,Male,Master,44774,23843,431,13725,36,7,Good,Employed,Mortgaged,Married,1
32,Male,PhD,72384,35712,667,44722,60,6,Bad,Unemployed,Mortgaged,Married,0
64,Male,Bachelor,22822,20955,564,48476,48,5,Bad,Self-Employed,Rented,Divorced,1
68,Male,Bachelor,57252,35328,514,33676,12,5,Bad,Employed,Owned,Married,0
61,Male,Bachelor,110585,32632,514,28625,24,4,Good,Self-Employed,Mortgaged,Divorced,1
69,Female,Bachelor,107420,38515,581,7387,36,7,Average,Self-Employed,Mortgaged,Married,1
20,Male,High School,33052,8154,829,8645,12,1,Good,Unemployed,Owned,Single,0
54,Male,High School,103574,29170,301,28683,12,3,Good,Employed,Owned,Married,0
68,Female,Master,102511,47857,812,21061,12,6,Good,Self-Employed,Rented,Married,1
24,Female,Bachelor,120152,32163,763,33870,48,1,Bad,Unemployed,Owned,Single,1
38,Female,Bachelor,139879,13085,746,20639,48,7,Good,Unemployed,Mortgaged,Single,1
26,Male,High School,33269,28244,662,47531,48,2,Average,Unemployed,Rented,Divorced,1
56,Female,Master,88577,6327,515,32789,36,7,Bad,Self-Employed,Rented,Married,1
35,Female,High School,36551,18139,463,20953,12,4,Good,Self-Employed,Rented,Married,1
21,Male,Bachelor,89915,26875,837,48889,60,9,Good,Unemployed,Owned,Divorced,1
42,Male,Bachelor,27661,34264,810,23204,36,5,Good,Employed,Owned,Single,1
31,Female,PhD,84547,14060,520,48259,48,1,Good,Unemployed,Owned,Married,1
67,Female,PhD,92503,16656,582,38602,48,4,Bad,Self-Employed,Owned,Divorced,1
26,Male,PhD,115406,19805,370,9679,48,4,Bad,Employed,Mortgaged,Divorced,1
43,Male,Master,80614,35366,673,37504,24,4,Bad,Unemployed,Mortgaged,Married,1
19,Male,High School,141971,29855,558,43775,12,3,Bad,Self-Employed,Rented,Divorced,1
37,Male,Bachelor,130503,5127,744,21118,60,3,Bad,Self-Employed,Mortgaged,Divorced,1
45,Male,Bachelor,101210,46891,500,36386,12,5,Good,Unemployed,Owned,Divorced,0
64,Female,Master,105930,39319,679,1583,36,5,Bad,Employed,Owned,Divorced,1
24,Male,Bachelor,33531,4590,714,4046,24,2,Good,Employed,Mortgaged,Married,1
61,Male,Bachelor,41370,13973,364,41499,36,9,Average,Unemployed,Mortgaged,Single,1
25,Male,High School,73000,17845,677,46925,48,3,Average,Self-Employed,Mortgaged,Divorced,1
64,Male,PhD,38565,38734,401,34618,48,4,Good,Unemployed,Owned,Single,0
52,Male,PhD,144534,49087,341,18878,60,2,Good,Self-Employed,Owned,Divorced,1
31,Female,Master,147097,28281,495,14640,12,8,Bad,Self-Employed,Rented,Single,1
34,Male,PhD,20832,45283,659,27529,36,7,Bad,Self-Employed,Rented,Married,1
53,Female,PhD,66978,17549,398,17627,48,3,Average,Self-Employed,Rented,Married,0
67,Male,Master,102941,28623,687,36550,60,5,Average,Unemployed,Mortgaged,Married,1
57,Female,Master,30185,35496,364,7111,60,1,Good,Self-Employed,Mortgaged,Married,1
21,Female,PhD,23492,25080,596,43824,36,6,Average,Employed,Owned,Single,1
19,Male,High School,78238,5697,726,48838,12,6,Good,Employed,Mortgaged,Divorced,1
23,Male,Master,78859,16730,522,38178,24,5,Good,Unemployed,Owned,Married,0
59,Male,Bachelor,64630,29245,448,43716,60,9,Average,Self-Employed,Owned,Divorced,1
21,Male,Master,85824,45134,808,37253,36,4,Good,Self-Employed,Mortgaged,Single,1
46,Male,Bachelor,60584,32313,741,22640,48,2,Good,Self-Employed,Mortgaged,Married,1
35,Female,Master,21076,19557,713,40711,24,7,Good,Unemployed,Owned,Married,1
43,Male,Master,133868,1037,415,39709,24,5,Good,Employed,Owned,Married,1
61,Male,PhD,54139,30908,752,8476,12,7,Bad,Self-Employed,Owned,Single,1
51,Female,PhD,86610,41254,619,21037,36,7,Average,Employed,Mortgaged,Divorced,0
27,Male,PhD,57702,3021,750,32539,12,7,Average,Self-Employed,Owned,Married,1
53,Female,High School,47535,40648,378,2449,60,3,Good,Self-Employed,Rented,Married,1
31,Male,PhD,118343,38289,656,22377,60,5,Average,Employed,Owned,Divorced,1
48,Female,PhD,83737,9839,418,3633,36,1,Average,Unemployed,Mortgaged,Divorced,1
65,Male,Master,83705,32005,820,12209,48,6,Bad,Self-Employed,Owned,Married,1
32,Female,Master,89810,4302,578,2634,60,4,Bad,Unemployed,Rented,Married,1
25,Female,High School,48198,9511,344,26937,60,2,Bad,Self-Employed,Mortgaged,Single,1
31,Male,Bachelor,134870,21991,524,33878,48,3,Bad,Self-Employed,Owned,Married,1
40,Male,Master,144639,40136,827,40834,24,3,Bad,Self-Employed,Owned,Single,1
57,Male,Master,115395,44513,540,23001,36,1,Good,Self-Employed,Mortgaged,Single,1
38,Female,Bachelor,79113,10914,781,33231,24,7,Average,Unemployed,Mortgaged,Divorced,0
33,Female,High School,123800,10948,394,27406,12,3,Bad,Unemployed,Owned,Single,1
62,Female,Master,65760,45638,664,35829,48,7,Bad,Employed,Owned,Single,0
35,Male,PhD,77840,29354,484,23929,36,9,Average,Unemployed,Mortgaged,Married,1
64,Male,High School,143476,6873,435,34096,48,6,Good,Unemployed,Mortgaged,Married,1
41,Female,Bachelor,55276,32461,324,18579,48,8,Average,Employed,Owned,Single,1
43,Male,Bachelor,97554,8498,617,43664,24,1,Bad,Employed,Mortgaged,Single,1
42,Female,PhD,81913,24556,632,43733,24,8,Good,Self-Employed,Mortgaged,Single,0
62,Male,PhD,78028,33606,399,11572,12,8,Good,Employed,Owned,Single,1
58,Male,PhD,93608,28091,669,22658,36,3,Good,Unemployed,Owned,Single,1
46,Female,High School,33348,6635,311,36733,48,6,Average,Employed,Mortgaged,Single,0
32,Male,Bachelor,66678,34532,376,49917,12,6,Average,Self-Employed,Rented,Single,0
62,Male,PhD,33952,23690,647,34557,48,7,Average,Unemployed,Mortgaged,Single,1
18,Male,PhD,134369,18036,742,28696,12,3,Bad,Self-Employed,Mortgaged,Divorced,1
42,Male,Bachelor,20318,46040,387,38679,48,1,Good,Unemployed,Rented,Married,1
24,Male,Master,97354,48911,764,28467,24,9,Bad,Employed,Rented,Divorced,0
26,Female,High School,46011,45562,793,17356,60,6,Good,Employed,Rented,Married,1
41,Male,Master,38787,11321,521,39810,12,5,Good,Employed,Rented,Divorced,1
18,Female,PhD,132286,30152,814,11267,12,2,Good,Employed,Mortgaged,Married,1
61,Male,High School,129160,21348,417,2396,60,4,Good,Employed,Rented,Single,1
25,Male,Master,83428,21995,435,20038,24,5,Good,Unemployed,Owned,Single,0
41,Female,Bachelor,32516,25762,486,23201,12,4,Good,Self-Employed,Mortgaged,Married,0
28,Female,PhD,119032,1145,841,12191,24,4,Good,Self-Employed,Owned,Divorced,1
68,Male,High School,54055,6101,610,18495,48,6,Average,Self-Employed,Owned,Single,0
34,Male,High School,122305,5247,678,23318,48,4,Average,Self-Employed,Mortgaged,Married,1
25,Female,High School,140294,10578,711,21360,60,9,Bad,Employed,Mortgaged,Single,1
52,Female,High School,28752,5188,720,32606,36,2,Good,Self-Employed,Mortgaged,Single,1
52,Female,PhD,86911,32774,516,25261,24,5,Bad,Self-Employed,Rented,Single,1
50,Female,PhD,144345,44547,370,13816,36,3,Average,Unemployed,Rented,Married,1
22,Male,Bachelor,100506,3696,409,12697,36,8,Bad,Unemployed,Owned,Single,0
59,Male,Bachelor,79850,42008,584,36601,24,3,Bad,Employed,Mortgaged,Married,0
56,Male,Bachelor,130382,47958,597,19110,36,8,Good,Unemployed,Owned,Single,1
58,Male,Master,118328,20713,798,3713,12,8,Bad,Employed,Owned,Single,1
45,Male,Bachelor,37538,45549,829,44133,48,2,Bad,Self-Employed,Rented,Divorced,1
24,Female,PhD,32657,44548,497,3017,60,7,Bad,Self-Employed,Mortgaged,Divorced,1
26,Female,Master,37843,31875,806,30176,24,6,Average,Employed,Rented,Married,1
25,Female,PhD,101119,26350,788,11740,60,1,Good,Self-Employed,Rented,Divorced,0
29,Male,Master,41491,5641,326,46647,48,2,Good,Employed,Rented,Married,1
51,Female,Bachelor,123010,6559,417,35422,60,4,Good,Unemployed,Rented,Single,0
50,Male,Bachelor,66431,35028,353,15406,24,2,Good,Unemployed,Mortgaged,Single,1
65,Male,Bachelor,148801,12631,803,33029,60,5,Average,Self-Employed,Rented,Divorced,1
40,Male,Master,134148,36816,451,19986,36,3,Good,Unemployed,Owned,Divorced,1
41,Female,PhD,83475,3023,778,20502,36,6,Bad,Employed,Rented,Married,0
54,Male,High School,62180,26656,461,20727,48,9,Average,Unemployed,Rented,Married,0
52,Male,PhD,38540,21654,515,17404,36,7,Bad,Self-Employed,Rented,Divorced,1
61,Female,Bachelor,91515,22717,719,1154,60,5,Average,Self-Employed,Mortgaged,Divorced,1
57,Male,Master,80635,35842,647,541,12,1,Good,Employed,Rented,Divorced,1
39,Female,Master,27943,33550,639,15432,60,1,Good,Unemployed,Rented,Married,1
44,Male,Bachelor,140730,46202,651,11603,12,1,Average,Unemployed,Owned,Single,1
52,Female,Master,28911,46923,674,13635,60,3,Good,Employed,Rented,Divorced,1
18,Male,Bachelor,60254,36080,836,27384,12,7,Average,Employed,Rented,Single,0
52,Male,PhD,119409,4474,602,2013,12,9,Good,Employed,Mortgaged,Single,1
54,Female,Master,83000,15171,541,21650,24,6,Average,Self-Employed,Rented,Divorced,1
64,Male,High School,89305,4260,677,20620,24,7,Good,Self-Employed,Rented,Single,1
31,Female,Master,22479,6618,688,9972,60,3,Good,Employed,Rented,Single,0
20,Male,Bachelor,30112,46765,586,38192,36,8,Average,Unemployed,Owned,Married,1
18,Female,High School,129575,35118,458,28214,24,6,Bad,Employed,Rented,Divorced,1
22,Male,Bachelor,90267,10285,653,41160,12,3,Good,Employed,Mortgaged,Married,0
43,Male,Master,82612,39816,754,41679,60,2,Average,Employed,Mortgaged,Single,1
31,Male,High School,96897,9141,540,21843,36,9,Good,Employed,Owned,Single,0
56,Female,High School,134391,29352,511,45267,60,7,Good,Self-Employed,Rented,Single,1
44,Female,Master,121476,45056,662,27108,12,9,Bad,Self-Employed,Owned,Divorced,1
26,Female,High School,66809,24707,432,34897,24,4,Average,Unemployed,Rented,Single,1
32,Female,PhD,149390,23161,808,24110,24,4,Bad,Self-Employed,Mortgaged,Married,0
32,Female,High School,52205,2854,576,3749,48,6,Good,Employed,Rented,Divorced,1
43,Male,High School,110105,19650,564,17344,48,2,Average,Employed,Owned,Married,1
59,Male,PhD,92604,17944,659,17173,60,1,Bad,Employed,Owned,Divorced,1
30,Male,Bachelor,26557,8546,435,42595,60,3,Average,Unemployed,Mortgaged,Divorced,1
68,Male,Bachelor,56098,49321,727,31401,36,5,Good,Self-Employed,Owned,Married,1
49,Male,PhD,58790,8207,328,723,24,2,Good,Employed,Mortgaged,Divorced,1
56,Female,High School,130947,30268,629,2945,24,9,Bad,Employed,Mortgaged,Married,1
66,Male,Master,54826,7486,333,17337,48,1,Good,Employed,Owned,Married,1
69,Female,PhD,148415,32222,803,45918,12,3,Average,Unemployed,Mortgaged,Single,0
49,Male,Master,42074,30121,403,35314,12,5,Good,Self-Employed,Owned,Single,1
21,Female,Bachelor,146201,19767,793,31044,48,1,Bad,Unemployed,Rented,Single,1
47,Female,PhD,107691,39915,670,31995,60,4,Good,Self-Employed,Mortgaged,Married,0
54,Female,Master,136558,11017,687,6411,24,1,Bad,Employed,Rented,Divorced,1
40,Male,High School,121925,16094,536,45558,24,7,Bad,Unemployed,Rented,Single,1
56,Male,PhD,127641,32236,389,13380,24,1,Bad,Unemployed,Mortgaged,Divorced,0
62,Male,Master,122295,8664,632,45335,12,3,Bad,Unemployed,Owned,Divorced,1
32,Male,PhD,116320,30921,676,25766,60,4,Average,Self-Employed,Owned,Married,0
60,Female,PhD,52401,30845,539,5979,12,4,Bad,Unemployed,Rented,Divorced,1
46,Female,Bachelor,31565,15573,481,47532,60,7,Average,Unemployed,Owned,Married,1
53,Female,Bachelor,110236,2683,556,3886,48,5,Average,Employed,Mortgaged,Married,0
30,Female,High School,126807,10390,488,21708,60,8,Average,Unemployed,Rented,Married,0
49,Male,Bachelor,84702,34777,714,39433,12,3,Good,Employed,Owned,Married,1
24,Female,Bachelor,69926,49588,554,19352,24,8,Bad,Employed,Owned,Married,1
68,Male,Bachelor,100873,32777,344,30321,12,9,Bad,Unemployed,Rented,Married,1
39,Female,Master,31112,43667,500,26504,48,9,Good,Employed,Owned,Divorced,0
45,Female,PhD,99297,30111,658,39042,24,9,Bad,Self-Employed,Owned,Single,1
19,Female,Bachelor,128327,30980,642,20809,12,1,Good,Self-Employed,Rented,Single,1
59,Male,Master,28885,36380,511,48218,24,9,Bad,Self-Employed,Rented,Single,0
62,Male,PhD,139966,24808,597,44075,48,8,Average,Employed,Mortgaged,Divorced,0
23,Female,Bachelor,21376,8226,454,38493,60,2,Average,Self-Employed,Rented,Divorced,1
45,Female,Bachelor,25939,23447,496,38019,60,3,Average,Self-Employed,Rented,Married,1
45,Female,PhD,61949,38109,781,31764,36,7,Bad,Employed,Rented,Single,1
61,Male,Master,22846,18926,678,2718,24,3,Average,Unemployed,Mortgaged,Divorced,1
61,Male,Master,92353,18621,666,27428,48,2,Good,Employed,Rented,Married,0
37,Male,High School,27430,12167,836,15169,12,4,Bad,Employed,Rented,Single,1
47,Female,PhD,46328,6709,370,48645,12,9,Bad,Unemployed,Rented,Married,0
28,Male,High School,31151,14240,327,8415,36,2,Bad,Self-Employed,Rented,Single,1
45,Female,Master,79797,36031,692,44699,12,1,Average,Self-Employed,Mortgaged,Single,0
42,Male,Bachelor,47619,33146,822,7606,48,7,Average,Employed,Owned,Single,1
56,Female,High School,54484,8998,648,1374,48,1,Good,Self-Employed,Mortgaged,Divorced,1
50,Female,Master,144506,41508,417,15793,60,6,Good,Employed,Owned,Married,1
18,Male,Master,47664,11812,679,32077,24,5,Bad,Employed,Owned,Married,1
44,Female,Bachelor,26780,32101,507,9026,24,8,Good,Self-Employed,Mortgaged,Divorced,0
69,Female,PhD,88867,15228,722,39255,12,3,Bad,Employed,Owned,Single,0
30,Female,Master,48604,25747,392,34446,24,3,Average,Self-Employed,Rented,Single,0
58,Male,High School,127385,47300,440,17513,36,1,Average,Unemployed,Rented,Single,1
20,Female,Bachelor,37762,30790,654,39787,24,4,Bad,Employed,Mortgaged,Married,0
56,Male,PhD,139272,2882,822,6514,12,6,Average,Self-Employed,Owned,Married,1
23,Male,PhD,43765,39955,368,33348,24,5,Average,Unemployed,Rented,Married,1
25,Female,PhD,83726,19659,423,34177,48,7,Average,Employed,Mortgaged,Single,1
44,Male,Master,57043,48420,718,41909,48,1,Bad,Unemployed,Mortgaged,Single,1
26,Female,PhD,107458,24258,822,36338,60,3,Good,Employed,Owned,Single,0
54,Male,Master,79051,24886,640,28046,60,4,Bad,Self-Employed,Owned,Married,1
50,Female,Bachelor,109230,42560,604,38697,60,6,Bad,Unemployed,Mortgaged,Single,1
68,Male,Bachelor,30556,32343,456,20962,60,4,Average,Unemployed,Owned,Single,1
59,Female,PhD,99091,19407,387,18863,24,7,Average,Unemployed,Rented,Divorced,0
61,Female,Bachelor,134919,4950,527,5275,12,3,Good,Self-Employed,Mortgaged,Married,0
41,Female,High School,30004,4889,664,23712,24,8,Bad,Employed,Mortgaged,Married,1
32,Female,High School,78956,31410,565,48982,12,7,Good,Self-Employed,Mortgaged,Married,0
49,Male,Master,123726,29968,383,1229,12,3,Good,Unemployed,Mortgaged,Married,0
49,Male,PhD,40810,19976,511,28375,12,9,Bad,Unemployed,Rented,Divorced,1
41,Female,Master,82000,24016,517,44471,12,5,Good,Unemployed,Owned,Divorced,1
58,Male,Bachelor,96724,10211,450,31410,48,2,Bad,Self-Employed,Owned,Divorced,1
69,Female,PhD,20247,23742,439,8405,12,9,Bad,Unemployed,Owned,Divorced,1
66,Female,Master,40762,24553,354,9705,24,8,Good,Employed,Owned,Single,1
66,Male,PhD,131902,30332,440,6832,12,8,Good,Employed,Owned,Single,1
69,Male,PhD,65995,14089,373,36532,48,1,Bad,Self-Employed,Mortgaged,Divorced,1
29,Female,Master,79423,49334,434,46142,24,4,Average,Employed,Owned,Single,0
56,Male,PhD,99347,5436,325,30019,36,7,Average,Self-Employed,Mortgaged,Married,0
19,Female,Bachelor,89277,18087,787,19927,24,6,Bad,Self-Employed,Owned,Single,1
20,Male,High School,81969,26428,734,2690,48,9,Average,Unemployed,Rented,Single,0
66,Male,High School,49052,9497,361,6446,48,8,Good,Self-Employed,Rented,Single,1
54,Male,PhD,69214,29154,499,11261,60,9,Good,Unemployed,Rented,Single,1
66,Male,High School,138911,27509,789,20388,36,4,Average,Employed,Owned,Divorced,1
34,Male,PhD,54319,41404,792,30225,12,8,Average,Employed,Owned,Single,1
66,Female,Master,91842,45747,767,42762,48,6,Bad,Unemployed,Owned,Single,0
19,Male,Bachelor,88541,42833,415,42249,60,9,Good,Unemployed,Owned,Married,1
19,Male,High School,88858,35349,670,24998,60,1,Average,Employed,Owned,Divorced,1
45,Female,Master,101544,4957,531,44759,12,6,Average,Self-Employed,Rented,Married,1
40,Female,Bachelor,60765,38358,747,8464,24,2,Average,Unemployed,Owned,Single,0
54,Female,High School,44870,15913,513,2464,36,3,Average,Unemployed,Mortgaged,Single,1
49,Male,High School,32466,10797,507,33178,12,9,Good,Unemployed,Owned,Married,1
50,Male,Bachelor,65284,8531,401,28348,12,5,Bad,Self-Employed,Rented,Married,1
18,Female,Master,70034,14825,309,1844,24,5,Good,Self-Employed,Rented,Single,1
36,Female,Master,53161,7911,772,32965,24,1,Bad,Unemployed,Owned,Married,1
19,Female,High School,88275,33316,422,36005,48,2,Average,Employed,Owned,Single,1
